date,shards-total,shards-successful,shards-failed,total-store,chunks-latest,chunks,coordinates-latest,coordinates,meta
2019-02-17T01:40:26.068Z,50,25,0,205692956,1526076,46658528,257101,157244438,6813
2019-02-17T01:45:26.119Z,50,25,0,187922860,1472892,46779542,262611,139401002,6813
2019-02-17T01:50:25.922Z,50,25,0,169473339,1521652,55666013,257103,112021758,6813
2019-02-17T01:55:26.087Z,50,25,0,216696412,1472063,47241468,257105,167718963,6813
2019-02-17T02:00:25.749Z,50,25,0,198395887,1487667,47489441,257106,149154860,6813
2019-02-17T02:05:25.765Z,50,25,0,192036840,1499478,47661296,257103,142612150,6813
2019-02-17T02:10:25.904Z,50,25,0,219294052,2049561,54061658,262607,162913413,6813
2019-02-17T02:15:26.172Z,50,25,0,218478238,1436477,73152337,257096,143625515,6813
2019-02-17T02:20:26.131Z,50,25,0,209906002,1576322,48161054,263460,159898353,6813
2019-02-17T02:25:26.105Z,50,25,0,185177542,1498981,48423943,259699,134988106,6813
2019-02-17T02:30:26.189Z,50,25,0,208962267,1655984,55117668,262614,151919188,6813
2019-02-17T02:35:26.282Z,50,25,0,192894579,1542875,48742406,263082,142339403,6813
2019-02-17T02:40:26.174Z,50,25,0,213813991,1573477,66144383,268131,145821187,6813
2019-02-17T02:45:26.005Z,50,25,0,220636823,1536251,49234696,257101,169601962,6813
2019-02-17T02:50:25.755Z,50,25,0,216164141,1719569,52667952,257100,161512707,6813
2019-02-17T02:55:25.760Z,50,25,0,231912899,1531697,58770227,259260,171344902,6813
2019-02-17T03:00:25.869Z,50,25,0,204326833,1509805,49816727,257096,152736392,6813
2019-02-17T03:05:26.080Z,50,25,0,195166343,1575614,50043006,257096,143283814,6813
2019-02-17T03:10:25.978Z,50,25,0,192100569,1535385,50098471,257092,140202808,6813
2019-02-17T03:15:26.048Z,50,25,0,211530512,1541337,50388184,258115,159336063,6813
2019-02-17T03:20:26.142Z,50,25,0,209541731,1505015,50602437,262606,157164860,6813
2019-02-17T03:25:25.947Z,50,25,0,180557471,1544750,50735554,257097,128013257,6813
2019-02-17T03:30:25.778Z,50,25,0,185584396,1559737,50890752,257477,132869617,6813
2019-02-17T03:35:25.770Z,50,25,0,161754920,1546109,60706638,257105,99238255,6813
2019-02-17T03:40:25.761Z,50,25,0,177371701,1462891,75859383,257109,99785505,6813
2019-02-17T03:45:25.769Z,50,25,0,183036110,1547409,80876582,262618,100342688,6813
2019-02-17T03:50:25.770Z,50,25,0,162361396,1473093,59722450,268130,100890910,6813
2019-02-17T03:55:25.775Z,50,25,0,155367579,1457056,52176933,280465,101446312,6813
2019-02-17T04:00:25.786Z,50,25,0,156321139,1472004,52507568,268838,102065916,6813
2019-02-17T04:05:25.877Z,50,25,0,158656829,1646298,52734517,263463,104005738,6813
2019-02-17T04:10:25.841Z,50,25,0,158810567,1510084,53002027,257098,104034545,6813
2019-02-17T04:15:25.878Z,50,25,0,158588278,1505864,53214566,257099,103603936,6813
2019-02-17T04:20:25.904Z,50,25,0,162685020,1490759,53468565,257087,107461796,6813
2019-02-17T04:25:25.855Z,50,25,0,160341243,1519496,53764599,257094,104793241,6813
2019-02-17T04:30:25.923Z,50,25,0,181644382,1674571,74376685,265456,105320857,6813
2019-02-17T04:35:25.852Z,50,25,0,164743404,1518382,54244645,257095,108716469,6813
2019-02-17T04:40:25.848Z,50,25,0,164247526,1539262,54533572,257104,107910775,6813
2019-02-17T04:45:25.954Z,50,25,0,165136185,1535899,54793707,257099,108542667,6813
2019-02-17T04:50:25.871Z,50,25,0,167841232,1538193,55036085,257098,111003043,6813
2019-02-17T04:55:25.907Z,50,25,0,170659161,1506273,55359308,279411,113507356,6813
2019-02-17T05:00:25.901Z,50,25,0,167841781,1479841,55624395,257101,110473631,6813
2019-02-17T05:05:25.870Z,50,25,0,172975985,1560832,55851906,257101,115299333,6813
2019-02-17T05:10:26.023Z,50,25,0,186778082,1550337,75199465,257106,109764361,6813
2019-02-17T05:15:25.865Z,50,25,0,168273407,1492936,56328158,257103,110188397,6813
2019-02-17T05:20:25.898Z,50,25,0,169187865,1480304,56676766,257099,110766883,6813
2019-02-17T05:25:25.800Z,50,25,0,179545678,1572828,66518133,257093,111190811,6813
2019-02-17T05:30:25.804Z,50,25,0,180428433,1529449,66807380,257102,111827689,6813
2019-02-17T05:35:25.804Z,50,25,0,171539240,1492742,57420895,257100,112361690,6813
2019-02-17T05:40:25.807Z,50,25,0,173135283,1518750,57640845,257093,113711782,6813
2019-02-17T05:45:25.800Z,50,25,0,174931986,1571212,57973682,263464,115116815,6813
2019-02-17T05:50:25.806Z,50,25,0,204362058,1773698,88347677,257091,113976779,6813
2019-02-17T05:55:25.830Z,50,25,0,205600739,1528174,89261784,257094,114546874,6813
2019-02-17T06:00:25.992Z,50,25,0,196909706,1689573,79777814,257099,115178407,6813
2019-02-17T06:05:25.874Z,50,25,0,177754521,1451769,59020510,257097,117018332,6813
2019-02-17T06:10:25.911Z,50,25,0,199720230,1571682,81667831,257101,116216803,6813
2019-02-17T06:15:25.881Z,50,25,0,178087437,1573458,59502202,257097,116747867,6813
2019-02-17T06:20:25.893Z,50,25,0,179026252,1536745,59837623,257100,117387971,6813
2019-02-17T06:25:25.936Z,50,25,0,191221228,1673750,71462743,257098,117820824,6813
